EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
650349.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
556858.300,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
488000.500,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
458233.900,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
442271.400,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
428130.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
415495.500,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
404261.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
394167.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
384882.400,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
376225.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
368309.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
361159.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
354596.500,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
348430.300,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
342579.900,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
337137.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
332185.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
327622.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
323278.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
